descripcion,decision,equipo,estadio,arbitro
Minuto 12: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Manchester City.,Penal,Manchester United,Bombonera,Wilton Sampaio
Minuto 40: Alan Velasco protagoniza una jugada polémica en Monumental entre Liverpool.,Gol válido,Manchester City,Anfield,Wilton Sampaio
Minuto 4: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Independiente.,Amarilla,Manchester United,Monumental,Michael Oliver
Minuto 11: Alan Velasco protagoniza una jugada polémica en Monumental entre Manchester City.,Offside,Manchester City,Etihad,Darío Herrera
Minuto 13: Edinson Cavani protagoniza una jugada polémica en Anfield entre Liverpool.,Amarilla,Boca Juniors,Old Trafford,Wilton Sampaio
Minuto 69: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre River Plate.,No penal,River Plate,Anfield,Facundo Tello
Minuto 26: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Penal,Manchester City,Anfield,Anthony Taylor
Minuto 9: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Amarilla,Manchester United,Anfield,Michael Oliver
Minuto 11: Edinson Cavani protagoniza una jugada polémica en Anfield entre Liverpool.,Gol válido,Manchester City,Bombonera,Darío Herrera
Minuto 3: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Independiente.,Gol anulado,Manchester City,Anfield,Facundo Tello
Minuto 62: Julián Álvarez protagoniza una jugada polémica en Etihad entre Manchester United.,No penal,Boca Juniors,Monumental,Wilton Sampaio
Minuto 47: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Manchester United.,Gol válido,Independiente,Monumental,Anthony Taylor
Minuto 11: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester United.,Gol válido,Liverpool,Etihad,Facundo Tello
Minuto 66: Enzo Pérez protagoniza una jugada polémica en Anfield entre Independiente.,Gol válido,Liverpool,Anfield,Fernando Rapallini
Minuto 72: Enzo Pérez protagoniza una jugada polémica en Anfield entre Boca Juniors.,Gol válido,Independiente,Etihad,Wilton Sampaio
Minuto 57: Erling Haaland protagoniza una jugada polémica en Etihad entre Independiente.,No penal,Independiente,Anfield,Michael Oliver
Minuto 17: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Liverpool.,Roja,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 6: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Manchester United.,Penal,Boca Juniors,Libertadores de América,Darío Herrera
Minuto 14: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Independiente.,Penal,Manchester United,Libertadores de América,Darío Herrera
Minuto 84: Julián Álvarez protagoniza una jugada polémica en Monumental entre Independiente.,Gol anulado,Independiente,Libertadores de América,Fernando Rapallini
Minuto 83: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester United.,Gol anulado,Manchester United,Monumental,Michael Oliver
Minuto 84: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre River Plate.,Penal,Liverpool,Monumental,Michael Oliver
Minuto 19: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Independiente.,Roja,Manchester City,Anfield,Fernando Rapallini
Minuto 30: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,Gol válido,Independiente,Old Trafford,Anthony Taylor
Minuto 59: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre River Plate.,No penal,Manchester United,Anfield,Michael Oliver
Minuto 8: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester City.,Amarilla,Independiente,Monumental,Anthony Taylor
Minuto 62: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Penal,Manchester United,Libertadores de América,Facundo Tello
Minuto 85: Erling Haaland protagoniza una jugada polémica en Etihad entre Liverpool.,Roja,Manchester United,Anfield,Fernando Rapallini
Minuto 73: Erling Haaland protagoniza una jugada polémica en Monumental entre Liverpool.,Penal,River Plate,Bombonera,Fernando Rapallini
Minuto 8: Erling Haaland protagoniza una jugada polémica en Anfield entre Independiente.,No penal,Independiente,Monumental,Wilton Sampaio
Minuto 26: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Independiente.,Roja,Manchester United,Libertadores de América,Michael Oliver
Minuto 29: Enzo Pérez protagoniza una jugada polémica en Anfield entre Liverpool.,No penal,Liverpool,Libertadores de América,Michael Oliver
Minuto 45: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Gol anulado,Boca Juniors,Old Trafford,Fernando Rapallini
Minuto 1: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Independiente.,Gol válido,Boca Juniors,Monumental,Anthony Taylor
Minuto 12: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,Penal,Liverpool,Bombonera,Fernando Rapallini
Minuto 57: Erling Haaland protagoniza una jugada polémica en Etihad entre River Plate.,Penal,Independiente,Old Trafford,Anthony Taylor
Minuto 84: Julián Álvarez protagoniza una jugada polémica en Etihad entre Manchester City.,Amarilla,River Plate,Libertadores de América,Fernando Rapallini
Minuto 62: Enzo Pérez protagoniza una jugada polémica en Anfield entre Liverpool.,Gol válido,Boca Juniors,Etihad,Anthony Taylor
Minuto 49: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,Amarilla,Independiente,Monumental,Fernando Rapallini
Minuto 88: Erling Haaland protagoniza una jugada polémica en Monumental entre River Plate.,Gol válido,Manchester City,Old Trafford,Wilton Sampaio
Minuto 39: Julián Álvarez protagoniza una jugada polémica en Etihad entre Manchester United.,Amarilla,Manchester United,Old Trafford,Anthony Taylor
Minuto 46: Erling Haaland protagoniza una jugada polémica en Monumental entre Liverpool.,Penal,Liverpool,Etihad,Anthony Taylor
Minuto 12: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester City.,Gol anulado,Liverpool,Bombonera,Anthony Taylor
Minuto 8: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Independiente.,Offside,Independiente,Etihad,Fernando Rapallini
Minuto 47: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Gol anulado,Liverpool,Libertadores de América,Fernando Rapallini
Minuto 36: Edinson Cavani protagoniza una jugada polémica en Etihad entre Manchester United.,Offside,Liverpool,Anfield,Fernando Rapallini
Minuto 76: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre River Plate.,Offside,Boca Juniors,Etihad,Fernando Rapallini
Minuto 74: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Manchester United.,Roja,Boca Juniors,Libertadores de América,Facundo Tello
Minuto 51: Alan Velasco protagoniza una jugada polémica en Monumental entre River Plate.,Offside,Liverpool,Old Trafford,Michael Oliver
Minuto 70: Enzo Pérez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Roja,Independiente,Old Trafford,Darío Herrera
Minuto 40: Edinson Cavani protagoniza una jugada polémica en Monumental entre River Plate.,Amarilla,Liverpool,Old Trafford,Wilton Sampaio
Minuto 65: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester City.,Roja,Independiente,Monumental,Fernando Rapallini
Minuto 23: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Liverpool.,Roja,Independiente,Old Trafford,Facundo Tello
Minuto 36: Enzo Pérez protagoniza una jugada polémica en Etihad entre River Plate.,Roja,Independiente,Bombonera,Darío Herrera
Minuto 60: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Manchester United.,Penal,Liverpool,Anfield,Fernando Rapallini
Minuto 63: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Manchester United.,Gol válido,Independiente,Anfield,Michael Oliver
Minuto 33: Edinson Cavani protagoniza una jugada polémica en Anfield entre Manchester City.,Offside,Liverpool,Etihad,Fernando Rapallini
Minuto 65: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol anulado,Liverpool,Bombonera,Michael Oliver
Minuto 35: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Independiente.,Penal,River Plate,Monumental,Darío Herrera
Minuto 64: Erling Haaland protagoniza una jugada polémica en Bombonera entre Liverpool.,No penal,Independiente,Monumental,Michael Oliver
Minuto 50: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Penal,Manchester United,Etihad,Michael Oliver
Minuto 26: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Independiente.,Penal,Manchester United,Bombonera,Wilton Sampaio
Minuto 50: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester City.,Offside,Manchester City,Libertadores de América,Facundo Tello
Minuto 37: Edinson Cavani protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Independiente,Anfield,Facundo Tello
Minuto 73: Julián Álvarez protagoniza una jugada polémica en Etihad entre Manchester City.,Penal,Independiente,Anfield,Fernando Rapallini
Minuto 22: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Manchester City.,Gol válido,River Plate,Etihad,Facundo Tello
Minuto 86: Erling Haaland protagoniza una jugada polémica en Old Trafford entre Manchester United.,Penal,Boca Juniors,Bombonera,Anthony Taylor
Minuto 51: Edinson Cavani protagoniza una jugada polémica en Monumental entre Manchester City.,Amarilla,Liverpool,Etihad,Michael Oliver
Minuto 11: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre River Plate.,No penal,Manchester City,Old Trafford,Anthony Taylor
Minuto 11: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol válido,Manchester United,Anfield,Facundo Tello
Minuto 86: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Manchester City,Anfield,Anthony Taylor
Minuto 17: Erling Haaland protagoniza una jugada polémica en Anfield entre Independiente.,Penal,Manchester United,Etihad,Facundo Tello
Minuto 11: Alan Velasco protagoniza una jugada polémica en Etihad entre Liverpool.,Amarilla,Manchester City,Libertadores de América,Wilton Sampaio
Minuto 5: Julián Álvarez protagoniza una jugada polémica en Anfield entre River Plate.,Amarilla,Boca Juniors,Anfield,Darío Herrera
Minuto 17: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,No penal,Liverpool,Anfield,Darío Herrera
Minuto 55: Edinson Cavani protagoniza una jugada polémica en Anfield entre Independiente.,Penal,River Plate,Libertadores de América,Wilton Sampaio
Minuto 75: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Gol válido,Manchester United,Etihad,Darío Herrera
Minuto 82: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Liverpool.,Offside,Manchester City,Old Trafford,Fernando Rapallini
Minuto 72: Bruno Fernandes protagoniza una jugada polémica en Etihad entre River Plate.,Gol válido,River Plate,Monumental,Wilton Sampaio
Minuto 63: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester United.,Roja,Manchester City,Libertadores de América,Anthony Taylor
Minuto 31: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Amarilla,Manchester United,Old Trafford,Darío Herrera
Minuto 10: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester City.,No penal,Boca Juniors,Monumental,Wilton Sampaio
Minuto 56: Alan Velasco protagoniza una jugada polémica en Monumental entre Independiente.,Offside,Manchester United,Old Trafford,Facundo Tello
Minuto 8: Edinson Cavani protagoniza una jugada polémica en Monumental entre Independiente.,Offside,Manchester United,Monumental,Michael Oliver
Minuto 25: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester City.,Roja,Manchester City,Anfield,Fernando Rapallini
Minuto 1: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Offside,River Plate,Bombonera,Darío Herrera
Minuto 78: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Independiente.,Penal,Manchester United,Old Trafford,Darío Herrera
Minuto 60: Erling Haaland protagoniza una jugada polémica en Etihad entre Boca Juniors.,Roja,Manchester City,Old Trafford,Wilton Sampaio
Minuto 16: Edinson Cavani protagoniza una jugada polémica en Monumental entre Boca Juniors.,Gol anulado,Liverpool,Libertadores de América,Michael Oliver
Minuto 66: Edinson Cavani protagoniza una jugada polémica en Bombonera entre Manchester City.,Offside,Liverpool,Bombonera,Wilton Sampaio
Minuto 8: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Amarilla,Manchester City,Etihad,Fernando Rapallini
Minuto 17: Julián Álvarez protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Roja,Manchester City,Old Trafford,Anthony Taylor
Minuto 19: Julián Álvarez protagoniza una jugada polémica en Monumental entre Independiente.,Offside,River Plate,Libertadores de América,Facundo Tello
Minuto 10: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Liverpool.,No penal,Boca Juniors,Libertadores de América,Facundo Tello
Minuto 28: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester City.,Offside,Independiente,Libertadores de América,Michael Oliver
Minuto 77: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Liverpool.,Offside,Independiente,Bombonera,Facundo Tello
Minuto 75: Julián Álvarez protagoniza una jugada polémica en Anfield entre River Plate.,Offside,River Plate,Monumental,Facundo Tello
Minuto 26: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Independiente.,Gol válido,Boca Juniors,Monumental,Darío Herrera
Minuto 69: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Manchester City.,No penal,Manchester United,Monumental,Fernando Rapallini
Minuto 19: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,No penal,Liverpool,Anfield,Facundo Tello
Minuto 15: Enzo Pérez protagoniza una jugada polémica en Etihad entre Manchester United.,Gol válido,Independiente,Anfield,Wilton Sampaio
Minuto 37: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Roja,River Plate,Anfield,Wilton Sampaio
Minuto 89: Edinson Cavani protagoniza una jugada polémica en Etihad entre Manchester City.,Penal,Manchester City,Etihad,Fernando Rapallini
Minuto 24: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre River Plate.,No penal,River Plate,Libertadores de América,Fernando Rapallini
Minuto 21: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester United.,No penal,Manchester City,Bombonera,Fernando Rapallini
Minuto 48: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Manchester United.,Offside,Boca Juniors,Libertadores de América,Wilton Sampaio
Minuto 71: Julián Álvarez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Roja,Manchester City,Anfield,Facundo Tello
Minuto 16: Julián Álvarez protagoniza una jugada polémica en Monumental entre Independiente.,Penal,Independiente,Libertadores de América,Fernando Rapallini
Minuto 87: Erling Haaland protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol válido,Liverpool,Bombonera,Wilton Sampaio
Minuto 28: Alan Velasco protagoniza una jugada polémica en Anfield entre Liverpool.,Roja,Liverpool,Libertadores de América,Darío Herrera
Minuto 65: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Liverpool.,Penal,Manchester United,Etihad,Fernando Rapallini
Minuto 49: Alan Velasco protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Roja,Liverpool,Etihad,Facundo Tello
Minuto 46: Erling Haaland protagoniza una jugada polémica en Etihad entre Independiente.,Gol anulado,Independiente,Monumental,Michael Oliver
Minuto 14: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre River Plate.,Penal,Independiente,Monumental,Michael Oliver
Minuto 54: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Manchester United.,Gol válido,Liverpool,Bombonera,Michael Oliver
Minuto 90: Alan Velasco protagoniza una jugada polémica en Monumental entre Liverpool.,Offside,Liverpool,Monumental,Michael Oliver
Minuto 58: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Independiente.,Roja,Boca Juniors,Old Trafford,Darío Herrera
Minuto 34: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Gol válido,River Plate,Bombonera,Michael Oliver
Minuto 57: Alan Velasco protagoniza una jugada polémica en Anfield entre Manchester United.,Roja,Liverpool,Etihad,Michael Oliver
Minuto 51: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre River Plate.,Offside,River Plate,Etihad,Darío Herrera
Minuto 59: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol válido,Manchester City,Bombonera,Facundo Tello
Minuto 28: Erling Haaland protagoniza una jugada polémica en Anfield entre Liverpool.,Gol anulado,Liverpool,Bombonera,Fernando Rapallini
Minuto 5: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Manchester United.,Offside,Liverpool,Libertadores de América,Fernando Rapallini
Minuto 17: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Liverpool.,Offside,Boca Juniors,Monumental,Facundo Tello
Minuto 25: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Manchester City.,Penal,Manchester United,Etihad,Anthony Taylor
Minuto 72: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Manchester United.,Penal,River Plate,Monumental,Michael Oliver
Minuto 88: Alan Velasco protagoniza una jugada polémica en Anfield entre River Plate.,Offside,River Plate,Libertadores de América,Facundo Tello
Minuto 26: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester City.,No penal,Liverpool,Monumental,Wilton Sampaio
Minuto 54: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Independiente.,Penal,Boca Juniors,Etihad,Facundo Tello
Minuto 21: Alan Velasco protagoniza una jugada polémica en Etihad entre Independiente.,Amarilla,Independiente,Libertadores de América,Darío Herrera
Minuto 82: Alan Velasco protagoniza una jugada polémica en Bombonera entre Independiente.,Roja,Independiente,Old Trafford,Darío Herrera
Minuto 6: Erling Haaland protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Liverpool,Monumental,Fernando Rapallini
Minuto 75: Erling Haaland protagoniza una jugada polémica en Bombonera entre Manchester United.,Offside,Liverpool,Anfield,Darío Herrera
Minuto 41: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Liverpool.,Penal,Boca Juniors,Libertadores de América,Fernando Rapallini
Minuto 76: Enzo Pérez protagoniza una jugada polémica en Etihad entre River Plate.,Gol anulado,Manchester United,Libertadores de América,Darío Herrera
Minuto 82: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Liverpool.,No penal,Manchester United,Etihad,Wilton Sampaio
Minuto 17: Enzo Pérez protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol anulado,Boca Juniors,Etihad,Facundo Tello
Minuto 8: Alan Velasco protagoniza una jugada polémica en Anfield entre Independiente.,Gol válido,Manchester United,Monumental,Wilton Sampaio
Minuto 84: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Amarilla,Liverpool,Monumental,Anthony Taylor
Minuto 74: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Liverpool.,No penal,Boca Juniors,Old Trafford,Anthony Taylor
Minuto 88: Edinson Cavani protagoniza una jugada polémica en Anfield entre Boca Juniors.,Offside,Manchester United,Libertadores de América,Anthony Taylor
Minuto 27: Julián Álvarez protagoniza una jugada polémica en Etihad entre Manchester United.,No penal,Manchester City,Etihad,Facundo Tello
Minuto 9: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Penal,River Plate,Monumental,Anthony Taylor
Minuto 71: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Liverpool.,No penal,Manchester City,Libertadores de América,Wilton Sampaio
Minuto 90: Alan Velasco protagoniza una jugada polémica en Monumental entre Boca Juniors.,Roja,Liverpool,Etihad,Michael Oliver
Minuto 53: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol válido,Boca Juniors,Monumental,Facundo Tello
Minuto 26: Erling Haaland protagoniza una jugada polémica en Anfield entre Liverpool.,Offside,Boca Juniors,Old Trafford,Wilton Sampaio
Minuto 41: Julián Álvarez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol válido,River Plate,Libertadores de América,Facundo Tello
Minuto 41: Erling Haaland protagoniza una jugada polémica en Anfield entre Manchester City.,Penal,Manchester United,Etihad,Wilton Sampaio
Minuto 76: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Manchester United.,Roja,Liverpool,Bombonera,Anthony Taylor
Minuto 21: Alan Velasco protagoniza una jugada polémica en Anfield entre Boca Juniors.,No penal,Boca Juniors,Anfield,Anthony Taylor
Minuto 8: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Independiente.,No penal,Independiente,Monumental,Wilton Sampaio
Minuto 68: Edinson Cavani protagoniza una jugada polémica en Old Trafford entre Manchester City.,Gol válido,Manchester United,Old Trafford,Anthony Taylor
Minuto 36: Edinson Cavani protagoniza una jugada polémica en Etihad entre Boca Juniors.,No penal,Manchester United,Bombonera,Fernando Rapallini
Minuto 49: Erling Haaland protagoniza una jugada polémica en Anfield entre Manchester City.,Roja,Independiente,Etihad,Darío Herrera
Minuto 41: Julián Álvarez protagoniza una jugada polémica en Etihad entre River Plate.,No penal,Independiente,Libertadores de América,Anthony Taylor
Minuto 57: Edinson Cavani protagoniza una jugada polémica en Libertadores de América entre Manchester City.,Roja,Liverpool,Old Trafford,Wilton Sampaio
Minuto 86: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Liverpool.,Amarilla,Manchester United,Anfield,Fernando Rapallini
Minuto 69: Erling Haaland protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Amarilla,Independiente,Etihad,Fernando Rapallini
Minuto 27: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre River Plate.,Amarilla,Manchester United,Libertadores de América,Michael Oliver
Minuto 39: Alan Velasco protagoniza una jugada polémica en Etihad entre Independiente.,Roja,River Plate,Old Trafford,Facundo Tello
Minuto 74: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Independiente.,Gol válido,River Plate,Old Trafford,Facundo Tello
Minuto 86: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,No penal,River Plate,Old Trafford,Anthony Taylor
Minuto 65: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Liverpool.,Gol válido,River Plate,Bombonera,Wilton Sampaio
Minuto 70: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester City.,Amarilla,River Plate,Monumental,Facundo Tello
Minuto 41: Erling Haaland protagoniza una jugada polémica en Monumental entre Manchester City.,Amarilla,Independiente,Anfield,Michael Oliver
Minuto 3: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,Offside,Manchester City,Monumental,Fernando Rapallini
Minuto 67: Edinson Cavani protagoniza una jugada polémica en Anfield entre Liverpool.,Gol anulado,River Plate,Old Trafford,Wilton Sampaio
Minuto 35: Alan Velasco protagoniza una jugada polémica en Bombonera entre River Plate.,Amarilla,Boca Juniors,Etihad,Michael Oliver
Minuto 88: Enzo Pérez protagoniza una jugada polémica en Etihad entre Manchester United.,Amarilla,River Plate,Monumental,Fernando Rapallini
Minuto 40: Enzo Pérez protagoniza una jugada polémica en Etihad entre River Plate.,Roja,Manchester United,Libertadores de América,Anthony Taylor
Minuto 64: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Manchester United.,No penal,Manchester United,Old Trafford,Facundo Tello
Minuto 89: Bruno Fernandes protagoniza una jugada polémica en Anfield entre Liverpool.,Offside,Boca Juniors,Libertadores de América,Wilton Sampaio
Minuto 57: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Gol anulado,Manchester United,Old Trafford,Facundo Tello
Minuto 80: Bruno Fernandes protagoniza una jugada polémica en Monumental entre River Plate.,No penal,Independiente,Etihad,Wilton Sampaio
Minuto 5: Enzo Pérez protagoniza una jugada polémica en Anfield entre River Plate.,Amarilla,River Plate,Etihad,Fernando Rapallini
Minuto 28: Alan Velasco protagoniza una jugada polémica en Etihad entre Independiente.,Penal,River Plate,Libertadores de América,Facundo Tello
Minuto 19: Alan Velasco protagoniza una jugada polémica en Etihad entre Manchester United.,Gol anulado,Independiente,Anfield,Fernando Rapallini
Minuto 13: Bruno Fernandes protagoniza una jugada polémica en Libertadores de América entre Independiente.,Offside,Manchester United,Libertadores de América,Anthony Taylor
Minuto 20: Erling Haaland protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Gol válido,River Plate,Bombonera,Darío Herrera
Minuto 29: Edinson Cavani protagoniza una jugada polémica en Monumental entre Boca Juniors.,Amarilla,Boca Juniors,Etihad,Michael Oliver
Minuto 62: Julián Álvarez protagoniza una jugada polémica en Etihad entre Boca Juniors.,Gol anulado,Liverpool,Monumental,Fernando Rapallini
Minuto 49: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester United.,Gol anulado,Boca Juniors,Monumental,Wilton Sampaio
Minuto 80: Edinson Cavani protagoniza una jugada polémica en Anfield entre Boca Juniors.,Amarilla,Independiente,Bombonera,Wilton Sampaio
Minuto 55: Enzo Pérez protagoniza una jugada polémica en Etihad entre Independiente.,No penal,Manchester United,Monumental,Darío Herrera
Minuto 20: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Liverpool.,Penal,Boca Juniors,Libertadores de América,Anthony Taylor
Minuto 34: Alan Velasco protagoniza una jugada polémica en Old Trafford entre Independiente.,Offside,Manchester United,Bombonera,Fernando Rapallini
Minuto 48: Alan Velasco protagoniza una jugada polémica en Monumental entre Manchester United.,No penal,Manchester United,Anfield,Facundo Tello
Minuto 29: Bruno Fernandes protagoniza una jugada polémica en Monumental entre Manchester United.,Gol anulado,River Plate,Bombonera,Anthony Taylor
Minuto 79: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Roja,Manchester United,Libertadores de América,Michael Oliver
Minuto 30: Julián Álvarez protagoniza una jugada polémica en Etihad entre Liverpool.,Gol válido,River Plate,Etihad,Michael Oliver
Minuto 7: Julián Álvarez protagoniza una jugada polémica en Monumental entre Liverpool.,Penal,River Plate,Bombonera,Michael Oliver
Minuto 73: Erling Haaland protagoniza una jugada polémica en Libertadores de América entre Boca Juniors.,Amarilla,Independiente,Monumental,Facundo Tello
Minuto 27: Alan Velasco protagoniza una jugada polémica en Bombonera entre Manchester United.,No penal,Manchester United,Etihad,Fernando Rapallini
Minuto 28: Bruno Fernandes protagoniza una jugada polémica en Etihad entre Manchester United.,Gol válido,Manchester United,Bombonera,Wilton Sampaio
Minuto 17: Enzo Pérez protagoniza una jugada polémica en Monumental entre River Plate.,Gol anulado,Boca Juniors,Anfield,Anthony Taylor
Minuto 40: Julián Álvarez protagoniza una jugada polémica en Etihad entre Liverpool.,Offside,River Plate,Monumental,Darío Herrera
Minuto 69: Enzo Pérez protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Boca Juniors,Old Trafford,Darío Herrera
Minuto 58: Julián Álvarez protagoniza una jugada polémica en Old Trafford entre Boca Juniors.,Amarilla,Boca Juniors,Bombonera,Darío Herrera
Minuto 19: Bruno Fernandes protagoniza una jugada polémica en Old Trafford entre Manchester City.,Amarilla,Manchester United,Bombonera,Darío Herrera
Minuto 65: Enzo Pérez protagoniza una jugada polémica en Libertadores de América entre Manchester United.,Amarilla,Boca Juniors,Monumental,Fernando Rapallini
Minuto 6: Enzo Pérez protagoniza una jugada polémica en Monumental entre River Plate.,No penal,Liverpool,Monumental,Darío Herrera
Minuto 37: Julián Álvarez protagoniza una jugada polémica en Bombonera entre Manchester United.,Roja,Boca Juniors,Etihad,Facundo Tello
Minuto 60: Alan Velasco protagoniza una jugada polémica en Bombonera entre Liverpool.,Gol anulado,Liverpool,Old Trafford,Anthony Taylor
Minuto 79: Bruno Fernandes protagoniza una jugada polémica en Bombonera entre Boca Juniors.,Offside,Independiente,Old Trafford,Facundo Tello
Minuto 57: Erling Haaland protagoniza una jugada polémica en Anfield entre Independiente.,Offside,Manchester City,Old Trafford,Darío Herrera
